EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Sprint review,PerformanceRating
E100752,37,Male,Phd,Divorced,Development,Data Engineer,Travel_Rarely,8,2,3,51,4,2,1,4,Yes,13,1,13,2,3,7,7,6,7,No,0.46,3
E100777,49,Male,Masters,Single,Development,Data Engineer,Travel_Rarely,9,3,2,31,2,3,3,8,No,24,3,26,2,3,5,2,0,0,No,0.52,3
E100742,35,Male,Masters,Single,Development,Data Engineer,Travel_Rarely,11,4,3,62,3,3,2,0,No,13,4,17,5,3,16,6,0,13,No,0.52,3
E1001019,28,Female,Bachelors,Single,Development,SDE,Travel_Rarely,2,3,1,67,1,1,2,7,Yes,13,4,10,4,3,7,7,3,7,Yes,0.76,3
E1001070,26,Female,Bachelors,Divorced,Development,SDE,Travel_Frequently,1,2,1,71,1,1,4,3,No,14,1,5,2,3,2,2,2,0,No,0.6,3
E100855,35,Male,Bachelors,Single,Development,SDE,Travel_Rarely,7,3,4,46,1,1,3,0,No,15,3,6,2,3,5,4,4,3,No,0.69,3
E100988,29,Male,Bachelors,Divorced,Development,SDE,Travel_Frequently,16,3,2,76,1,1,4,1,No,18,4,10,5,3,10,7,2,8,No,0.64,3
E100425,34,Male,Bachelors,Single,Development,SDE,Travel_Frequently,2,2,1,66,1,2,3,1,Yes,24,4,9,3,3,9,7,0,6,Yes,0.89,4
E100826,30,Female,Bachelors,Single,Development,SDE,Travel_Rarely,1,3,3,43,1,2,4,2,No,20,3,11,2,3,5,4,0,2,No,0.97,4
E100798,43,Male,Bachelors,Divorced,Development,SDE,Travel_Rarely,23,2,1,59,2,4,2,1,No,11,3,25,3,3,25,10,3,9,No,0.33,2
E1001094,29,Female,Bachelors,Married,Development,SDE,Travel_Rarely,1,4,2,36,2,1,1,1,Yes,11,4,1,1,3,1,0,0,0,Yes,0.64,3
E1001105,42,Female,Bachelors,Married,Development,SDE,Travel_Rarely,1,2,4,43,2,2,4,9,Yes,13,4,8,4,3,4,3,0,2,No,0.58,3
E1001112,45,Female,Bachelors,Single,Development,SDE,Travel_Rarely,2,4,2,95,2,1,3,1,No,14,4,1,3,3,1,0,0,0,No,0.57,3
E1001115,38,Male,Bachelors,Divorced,Development,SDE,Travel_Frequently,13,3,1,45,2,2,1,2,No,15,3,13,3,2,4,3,1,2,No,0.77,3
E1001196,58,Male,Bachelors,Divorced,Development,SDE,Travel_Frequently,16,4,4,57,2,1,4,9,Yes,14,4,3,3,2,1,0,0,0,Yes,0.51,3
E100297,28,Male,Bachelors,Single,Development,SDE,Travel_Rarely,2,3,3,50,2,1,3,5,Yes,14,2,6,4,3,4,2,0,3,Yes,0.74,3
E100329,36,Female,Bachelors,Married,Development,SDE,Travel_Rarely,2,3,2,82,2,1,1,9,Yes,14,4,6,3,4,1,1,0,0,No,0.42,3
E100342,48,Male,Bachelors,Single,Development,SDE,Travel_Rarely,29,3,1,98,2,3,3,9,Yes,13,4,23,2,3,1,0,0,0,Yes,0.63,3
E100382,30,Male,Bachelors,Married,Development,SDE,Travel_Rarely,12,3,4,55,2,2,4,1,Yes,12,3,10,1,2,10,8,3,0,No,0.44,3
E100395,30,Male,Bachelors,Married,Development,SDE,Travel_Rarely,11,3,3,99,2,2,4,1,No,19,1,11,3,3,11,10,10,8,No,0.51,3
E100537,52,Male,Bachelors,Married,Development,SDE,Travel_Rarely,2,1,3,65,2,5,3,0,No,14,1,34,5,3,33,18,11,9,No,0.6,3
E100539,35,Male,Bachelors,Married,Development,SDE,Travel_Rarely,14,2,2,50,2,2,3,3,Yes,13,1,8,1,3,1,0,0,1,Yes,0.48,3
E100609,32,Male,Bachelors,Single,Development,SDE,Travel_Rarely,5,1,4,62,2,1,3,0,Yes,14,4,4,2,1,3,2,1,2,Yes,0.79,3
E100616,33,Female,Bachelors,Married,Development,SDE,Travel_Rarely,7,3,3,63,2,1,4,1,No,13,3,2,2,2,2,2,0,2,No,0.55,3
E100617,34,Male,Bachelors,Married,Development,SDE,Travel_Rarely,2,4,4,84,2,2,1,6,No,13,2,13,3,3,11,9,5,9,No,0.43,3
E100699,38,Female,Bachelors,Married,Development,SDE,Travel_Rarely,5,2,1,81,2,3,2,3,No,17,3,19,2,3,10,8,0,1,No,0.54,3
E100739,38,Male,Bachelors,Divorced,Development,SDE,Travel_Rarely,3,3,3,92,2,3,4,0,Yes,14,2,12,3,3,11,10,2,9,No,0.78,3
E100771,31,Male,Bachelors,Single,Development,SDE,Travel_Rarely,26,4,3,42,2,1,2,0,Yes,16,4,3,5,3,2,2,2,2,No,0.51,3
E100774,35,Male,Bachelors,Single,Development,SDE,Travel_Rarely,4,3,3,97,2,2,2,9,No,19,3,10,5,3,1,1,0,0,No,0.7,3
E100808,31,Male,Bachelors,Married,Development,SDE,Travel_Rarely,2,1,4,98,2,1,1,1,No,12,3,4,3,3,4,2,3,2,No,0.53,3
E100927,34,Male,Bachelors,Married,Development,SDE,Travel_Rarely,27,1,2,83,2,1,4,1,Yes,13,4,6,3,3,6,5,1,3,No,0.53,3
E1001272,29,Female,Bachelors,Single,Development,SDE,Travel_Rarely,1,2,4,92,2,1,1,6,Yes,20,3,3,5,3,0,0,0,0,Yes,0.9,4
E100397,40,Male,Bachelors,Married,Development,SDE,Travel_Frequently,7,2,3,78,2,4,2,1,No,22,4,22,3,2,22,3,11,11,No,0.96,4
E100521,19,Male,Bachelors,Single,Development,SDE,Travel_Rarely,9,3,2,47,2,1,4,1,No,22,3,1,3,2,1,0,1,0,Yes,0.93,4
E100294,31,Male,Bachelors,Divorced,Development,SDE,Travel_Rarely,8,2,1,31,3,1,3,1,No,17,4,5,1,2,5,2,4,3,No,0.29,2
E100351,33,Female,Bachelors,Single,Development,SDE,Travel_Frequently,16,4,1,98,3,3,4,1,Yes,12,3,15,1,3,15,14,8,12,No,0.38,2
E100663,50,Male,Bachelors,Divorced,Development,SDE,Travel_Rarely,8,2,1,96,3,5,2,3,No,14,1,28,4,2,10,4,1,6,No,0.28,2
E1001021,38,Female,Bachelors,Single,Development,SDE,Travel_Rarely,1,2,3,81,3,3,3,4,Yes,14,4,10,4,4,1,0,0,0,No,0.77,3
E1001047,53,Male,Bachelors,Single,Development,SDE,Travel_Rarely,8,4,4,86,3,2,4,2,No,17,4,19,4,3,2,2,2,2,No,0.57,3
E1001050,32,Male,Bachelors,Married,Development,SDE,Travel_Frequently,2,1,1,80,3,2,4,1,No,15,4,10,2,3,10,8,4,7,No,0.46,3
E1001053,34,Female,Bachelors,Divorced,Development,SDE,Travel_Rarely,8,3,2,32,3,2,1,3,No,14,3,7,3,3,0,0,0,0,No,0.48,3
E1001080,37,Female,Bachelors,Divorced,Development,SDE,Travel_Rarely,3,1,4,82,3,1,1,0,Yes,13,2,6,3,2,5,3,4,3,No,0.58,3
E1001114,42,Male,Bachelors,Married,Development,SDE,Travel_Rarely,25,4,2,98,3,2,2,1,No,13,4,10,3,2,9,8,7,8,No,0.79,3
E1001121,43,Male,Bachelors,Married,Development,SDE,Travel_Rarely,1,3,2,94,3,4,1,6,No,24,3,22,3,3,4,1,1,0,No,0.7,3
E1001159,35,Female,Bachelors,Divorced,Development,SDE,Travel_Frequently,1,3,4,96,3,1,2,1,Yes,19,1,10,3,2,10,2,7,8,Yes,0.75,3
E1001160,32,Male,Bachelors,Divorced,Development,SDE,Non-Travel,4,1,4,61,3,1,4,0,No,12,2,4,2,3,3,0,0,2,No,0.79,3
E1001179,53,Female,Bachelors,Single,Development,SDE,Travel_Rarely,5,2,4,72,3,4,4,6,No,18,3,33,0,3,12,9,3,8,No,0.43,3
E1001180,43,Female,Bachelors,Married,Development,SDE,Travel_Frequently,9,3,4,33,3,2,4,4,No,13,2,12,2,2,5,2,2,2,No,0.73,3
E1001183,50,Male,Bachelors,Divorced,Development,SDE,Non-Travel,11,4,1,98,3,4,1,1,No,11,4,31,3,3,31,6,14,7,No,0.79,3
E1001189,32,Male,Bachelors,Single,Development,SDE,Travel_Rarely,8,3,1,87,3,1,4,1,Yes,24,3,1,2,1,1,0,0,1,Yes,0.69,3
E1001191,44,Male,Bachelors,Married,Development,SDE,Travel_Rarely,21,2,2,61,3,1,1,1,Yes,13,4,8,0,3,8,7,7,1,No,0.76,3
E1001204,22,Female,Bachelors,Married,Development,SDE,Travel_Rarely,23,4,2,34,3,2,3,0,Yes,19,1,4,3,4,3,2,0,2,Yes,0.73,3
E1001211,27,Female,Bachelors,Single,Development,SDE,Travel_Rarely,1,3,2,76,3,1,3,1,No,19,3,1,2,3,1,1,0,0,No,0.64,3
E1001212,34,Male,Bachelors,Divorced,Development,SDE,Travel_Rarely,2,2,2,83,3,1,2,1,No,14,2,1,3,3,1,0,1,0,No,0.53,3
E1001250,45,Male,Bachelors,Married,Development,SDE,Non-Travel,19,2,3,57,3,2,2,1,No,12,2,9,5,2,9,7,0,8,No,0.54,3
E1001273,33,Female,Bachelors,Single,Development,SDE,Travel_Rarely,2,4,2,53,3,1,4,3,No,18,1,5,4,3,3,2,0,2,No,0.65,3
E1001280,45,Male,Bachelors,Married,Development,SDE,Non-Travel,2,3,4,42,3,2,1,1,Yes,15,3,9,2,3,9,8,0,8,No,0.58,3
E1001282,30,Female,Bachelors,Married,Development,SDE,Travel_Rarely,3,2,1,48,3,1,3,4,Yes,11,2,7,2,3,5,2,0,1,Yes,0.64,3
E1001283,50,Male,Bachelors,Married,Development,SDE,Travel_Rarely,25,4,4,95,3,4,3,3,Yes,18,4,22,2,3,12,11,1,5,No,0.58,3
E100302,38,Male,Bachelors,Single,Development,SDE,Travel_Rarely,9,2,4,45,3,1,4,5,Yes,11,3,6,3,3,3,2,1,2,No,0.76,3
E100306,34,Female,Bachelors,Single,Development,SDE,Travel_Rarely,2,1,1,53,3,3,2,0,No,11,3,13,4,3,12,6,2,11,No,0.52,3
E100357,38,Female,Bachelors,Single,Development,SDE,Travel_Frequently,2,3,4,50,3,2,4,1,No,11,4,10,2,3,10,3,9,9,No,0.69,3
E100374,32,Male,Bachelors,Married,Development,SDE,Travel_Rarely,18,1,2,66,3,2,2,1,No,17,2,10,3,3,10,4,0,9,No,0.76,3
E100412,32,Male,Bachelors,Single,Development,SDE,Travel_Rarely,14,1,4,71,3,1,1,1,No,13,4,1,2,3,1,0,0,0,No,0.7,3
E100440,51,Male,Bachelors,Single,Development,SDE,Travel_Rarely,2,4,1,51,3,5,3,7,No,13,3,23,5,3,20,18,15,15,No,0.48,3
E100472,30,Female,Bachelors,Single,Development,SDE,Travel_Rarely,3,1,1,75,3,1,3,1,No,14,3,5,4,2,5,4,0,4,No,0.53,3
E100484,45,Male,Bachelors,Divorced,Development,SDE,Travel_Rarely,9,3,2,60,3,2,2,8,No,18,3,20,2,1,17,9,0,15,No,0.66,3
E100505,41,Male,Bachelors,Divorced,Development,SDE,Travel_Rarely,6,3,1,56,3,1,3,4,No,12,1,13,2,3,9,8,1,8,No,0.49,3
E100519,56,Female,Bachelors,Divorced,Development,SDE,Travel_Rarely,4,3,3,67,3,1,1,4,Yes,18,3,19,3,3,2,2,2,2,No,0.45,3
E100520,33,Male,Bachelors,Single,Development,SDE,Travel_Rarely,10,3,3,90,3,1,4,0,No,14,1,4,2,4,3,1,0,2,No,0.78,3
E100606,33,Female,Bachelors,Married,Development,SDE,Travel_Rarely,14,2,1,39,3,1,1,7,No,20,1,13,3,4,9,7,1,7,Yes,0.46,3
E100628,25,Female,Bachelors,Married,Development,SDE,Travel_Rarely,1,4,1,62,3,2,3,0,No,12,4,5,3,3,4,2,1,2,No,0.8,3
E100631,51,Male,Bachelors,Married,Development,SDE,Travel_Rarely,5,3,3,96,3,1,4,1,No,11,2,1,0,2,1,0,0,0,No,0.45,3
E100642,28,Male,Bachelors,Single,Development,SDE,Travel_Rarely,7,4,1,79,3,1,3,2,No,11,3,5,5,1,0,0,0,0,Yes,0.44,3
E100670,44,Male,Bachelors,Divorced,Development,SDE,Travel_Frequently,21,1,4,43,3,1,3,3,Yes,22,4,19,0,1,1,0,0,0,Yes,0.8,3
E100671,38,Male,Bachelors,Divorced,Development,SDE,Travel_Rarely,20,4,4,82,3,2,4,9,No,14,2,10,2,3,2,2,1,2,No,0.48,3
E100674,49,Female,Bachelors,Single,Development,SDE,Travel_Frequently,20,2,3,35,3,5,1,9,Yes,11,4,22,4,3,3,2,1,2,No,0.46,3
E100683,18,Male,Bachelors,Single,Development,SDE,Travel_Rarely,7,4,3,54,3,1,3,1,No,13,3,0,2,3,0,0,0,0,Yes,0.74,3
E100704,31,Male,Bachelors,Divorced,Development,SDE,Travel_Rarely,1,3,3,32,3,1,4,0,Yes,18,2,3,2,1,2,2,2,2,No,0.74,3
E100706,33,Female,Bachelors,Married,Development,SDE,Travel_Frequently,1,3,4,74,3,3,2,6,No,11,2,12,2,3,10,6,8,8,No,0.59,3
E100708,43,Female,Bachelors,Single,Development,SDE,Travel_Frequently,19,2,3,33,3,1,4,0,No,19,1,9,5,3,8,7,1,7,No,0.77,3
E100746,42,Female,Bachelors,Single,Development,SDE,Travel_Rarely,6,3,1,44,3,4,4,2,No,14,2,16,2,3,1,0,0,0,No,0.46,3
E100779,36,Female,Bachelors,Married,Development,SDE,Travel_Rarely,2,4,4,96,3,1,3,4,No,13,2,6,3,3,2,2,2,2,No,0.61,3
E100822,45,Male,Bachelors,Married,Development,SDE,Travel_Rarely,21,3,1,69,3,1,4,3,No,21,4,8,3,2,2,2,0,2,No,0.61,3
E100825,42,Female,Bachelors,Divorced,Development,SDE,Travel_Frequently,4,3,1,92,3,2,3,2,No,11,2,19,3,3,5,4,0,2,No,0.71,3
E100827,60,Female,Bachelors,Married,Development,SDE,Travel_Rarely,12,3,1,41,3,5,1,5,No,11,4,33,5,1,29,8,11,10,No,0.56,3
E100856,54,Female,Bachelors,Single,Development,SDE,Travel_Rarely,3,1,3,42,3,2,3,7,No,11,3,19,3,3,1,0,0,0,No,0.78,3
E100865,31,Male,Bachelors,Married,Development,SDE,Travel_Frequently,1,4,1,66,3,3,3,3,No,12,1,12,2,3,1,0,0,0,Yes,0.41,3
E100880,39,Female,Bachelors,Married,Development,SDE,Travel_Frequently,4,2,3,48,3,1,3,1,No,11,1,8,3,3,8,3,0,7,No,0.72,3
E100913,37,Female,Bachelors,Married,Development,SDE,Travel_Rarely,20,3,2,65,3,2,2,6,No,12,2,8,2,2,6,5,4,3,No,0.56,3
E100937,42,Female,Bachelors,Married,Development,SDE,Travel_Rarely,18,3,3,81,3,2,4,1,No,13,2,10,4,3,10,2,2,2,No,0.75,3
E100940,38,Female,Bachelors,Single,Development,SDE,Travel_Rarely,1,2,3,43,3,1,1,3,No,17,4,8,3,2,0,0,0,0,No,0.46,3
E100957,32,Female,Bachelors,Married,Development,SDE,Travel_Rarely,2,2,1,92,3,2,4,1,Yes,12,4,6,2,2,6,4,0,5,No,0.63,3
E100964,26,Female,Bachelors,Married,Development,SDE,Travel_Rarely,8,2,3,71,3,1,4,1,Yes,13,3,3,2,3,3,2,0,2,No,0.43,3
E1001011,27,Male,Bachelors,Divorced,Development,SDE,Travel_Frequently,3,4,4,32,3,3,1,1,No,21,3,9,4,2,9,7,1,7,No,0.96,4
E100339,37,Male,Bachelors,Married,Development,SDE,Travel_Rarely,2,5,2,73,3,1,2,4,No,21,1,8,1,3,1,0,0,0,No,0.99,4
E100354,31,Male,Bachelors,Divorced,Development,SDE,Travel_Rarely,24,3,4,48,3,2,4,3,No,22,4,10,3,2,7,7,1,7,No,0.92,4
E100376,31,Female,Bachelors,Single,Development,SDE,Travel_Rarely,16,4,3,61,3,2,4,1,No,23,4,11,2,3,11,7,1,8,No,0.92,4
E100433,36,Female,Bachelors,Divorced,Development,SDE,Travel_Rarely,8,4,1,39,3,1,4,5,No,22,1,7,2,3,1,0,0,0,No,0.85,4
E100478,41,Male,Bachelors,Married,Development,SDE,Travel_Rarely,9,2,3,94,3,1,1,2,No,21,4,7,2,3,5,0,1,4,No,0.94,4
E100509,32,Male,Bachelors,Single,Development,SDE,Travel_Rarely,17,3,3,43,3,1,3,3,No,20,1,8,2,3,5,4,1,4,No,0.9,4
E1001020,36,Female,Bachelors,Married,Development,SDE,Non-Travel,10,3,1,63,4,3,1,9,No,14,1,10,2,3,8,7,0,5,No,0.46,3
E1001075,34,Female,Bachelors,Single,Development,SDE,Travel_Rarely,13,1,2,72,4,1,4,2,No,16,3,10,2,3,4,2,1,3,No,0.42,3
E1001081,38,Female,Bachelors,Single,Development,SDE,Travel_Frequently,1,4,1,75,4,2,1,6,Yes,12,4,17,2,3,15,7,4,12,No,0.62,3
E1001152,44,Male,Bachelors,Married,Development,SDE,Travel_Rarely,1,2,1,62,4,1,4,2,Yes,24,3,10,2,2,3,2,0,2,No,0.77,3
E100375,36,Female,Bachelors,Married,Development,SDE,Travel_Rarely,1,4,2,55,4,1,4,3,No,12,2,5,3,3,1,0,0,0,No,0.6,3
E100501,57,Male,Bachelors,Divorced,Development,SDE,Travel_Rarely,9,3,3,83,4,3,4,3,Yes,16,2,12,2,1,5,3,1,4,No,0.74,3
E100545,37,Male,Bachelors,Married,Development,SDE,Travel_Rarely,23,2,2,65,4,1,1,1,Yes,12,1,8,3,2,8,7,1,7,No,0.79,3
E100625,42,Female,Bachelors,Single,Development,SDE,Travel_Rarely,4,2,4,82,4,2,1,3,Yes,13,3,10,1,3,3,2,0,2,No,0.71,3
E100647,25,Male,Bachelors,Divorced,Development,SDE,Non-Travel,22,3,2,85,4,2,1,1,No,12,4,6,2,3,6,3,1,5,No,0.77,3
E100685,36,Male,Bachelors,Married,Development,SDE,Travel_Frequently,24,3,3,81,4,1,4,4,No,18,4,4,2,3,1,0,0,0,No,0.78,3
E1001022,44,Male,Phd,Single,Development,SDE,Non-Travel,10,1,1,49,1,1,3,2,No,14,3,9,5,3,5,2,1,4,No,0.71,3
E100385,38,Female,Phd,Divorced,Development,SDE,Non-Travel,14,4,2,79,1,2,4,7,Yes,12,4,17,3,3,13,11,1,9,No,0.72,3
E100586,31,Male,Phd,Married,Development,SDE,Non-Travel,1,1,3,90,1,2,3,0,No,12,4,6,2,3,5,4,1,4,No,0.5,3
E100862,33,Male,Phd,Divorced,Development,SDE,Travel_Rarely,5,2,1,38,1,1,4,7,No,13,1,8,2,3,4,3,1,3,Yes,0.47,3
E1001042,27,Female,Phd,Single,Development,SDE,Travel_Rarely,17,3,4,55,2,2,1,8,No,19,1,9,2,1,7,6,0,7,No,0.77,3
E1001082,34,Female,Phd,Single,Development,SDE,Travel_Rarely,25,4,3,86,2,1,1,1,No,11,3,6,3,3,6,5,1,3,No,0.6,3
E1001110,40,Male,Phd,Single,Development,SDE,Travel_Frequently,8,2,1,51,2,2,3,6,No,14,4,10,6,3,1,0,0,0,No,0.57,3
E1001126,26,Female,Phd,Married,Development,SDE,Travel_Frequently,2,2,3,88,2,1,3,1,Yes,14,1,8,2,3,8,7,1,7,Yes,0.5,3
E100314,44,Female,Phd,Married,Development,SDE,Travel_Rarely,8,1,1,42,2,3,4,3,No,14,4,24,4,3,22,6,5,17,No,0.56,3
E100358,50,Female,Phd,Divorced,Development,SDE,Travel_Rarely,6,3,2,43,2,5,3,5,Yes,12,4,29,2,2,27,3,13,8,No,0.7,3
E100368,36,Male,Phd,Married,Development,SDE,Travel_Rarely,4,4,4,79,2,1,3,0,Yes,17,1,2,0,2,1,0,0,0,Yes,0.69,3
